geneID	gene_name	description	chrom	desc	start	stop	strand
4736	RPL10A	ribosomal protein L10a	6	gene	35436178	35438558	+
102465668	MIR7111	microRNA 7111	6	gene	35438285	35438356	+
7005	TEAD3	TEA domain transcription factor 3	6	gene	35441374	35464861	-
7287	TULP1	tubby like protein 1	6	gene	35465651	35480715	-
2289	FKBP5	FK506 binding protein 5	6	gene	35541362	35696360	-
100847048	MIR5690	microRNA 5690	6	gene	35632494	35632566	-
285847	LOC285847	uncharacterized LOC285847	6	gene	35694539	35704724	-
221481	ARMC12	armadillo repeat containing 12	6	gene	35704809	35716690	+
389383	CLPSL2	colipase like 2	6	gene	35744371	35747329	+
340204	CLPSL1	colipase like 1	6	gene	35748831	35755841	+
1208	CLPS	colipase	6	gene	35762759	35765121	-
222662	LHFPL5	lipoma HMGIC fusion partner-like 5	6	gene	35773071	35791852	+
6732	SRPK1	SRSF protein kinase 1	6	gene	35800811	35888957	-
116369	SLC26A8	solute carrier family 26 member 8	6	gene	35911291	35992413	-
1432	MAPK14	mitogen-activated protein kinase 14	6	gene	35995454	36079013	+
5603	MAPK13	mitogen-activated protein kinase 13	6	gene	36098261	36112301	+
27154	BRPF3	bromodomain and PHD finger containing 3	6	gene	36164550	36200567	+
285848	PNPLA1	patatin like phospholipase domain containing 1	6	gene	36210945	36276372	+
389384	C6orf222	chromosome 6 open reading frame 222	6	gene	36283534	36304662	-
51513	ETV7	ETS variant 7	6	gene	36321998	36355577	-
222659	PXT1	peroxisomal%2C testis specific 1	6	gene	36358328	36410666	-
222658	KCTD20	potassium channel tetramerization domain containing 20	6	gene	36410544	36458920	+
11329	STK38	serine/threonine kinase 38	6	gene	36461659	36515293	-
6428	SRSF3	serine and arginine rich splicing factor 3	6	gene	36562090	36572244	+
100500885	MIR3925	microRNA 3925	6	gene	36590213	36590289	-
101154753	PANDAR	promoter of CDKN1A antisense DNA damage activated RNA	6	gene	36641398	36642903	-
1026	CDKN1A	cyclin dependent kinase inhibitor 1A	6	gene	36644237	36655116	+
108783646	DINO	DNA damage%2C p53 is stabilized and p53-responsive	6	gene	36645386	36646336	-
401258	RAB44	RAB44%2C member RAS oncogene family	6	gene	36665628	36700960	+
57699	CPNE5	copine 5	6	gene	36708555	36807220	-
51645	PPIL1	peptidylprolyl isomerase like 1	6	gene	36822605	36842800	-
221477	C6orf89	chromosome 6 open reading frame 89	6	gene	36839646	36896740	+
221476	PI16	peptidase inhibitor 16	6	gene	36916039	36932613	+
23787	MTCH1	mitochondrial carrier 1	6	gene	36935911	36954327	-
221472	FGD2	FYVE%2C RhoGEF and PH domain containing 2	6	gene	36973423	36996845	+
5292	PIM1	Pim-1 proto-oncogene%2C serine/threonine kinase	6	gene	37137922	37143204	+
221468	TMEM217	transmembrane protein 217	6	gene	37179954	37225931	-
55633	TBC1D22B	TBC1 domain family member 22B	6	gene	37225480	37300746	+
9025	RNF8	ring finger protein 8	6	gene	37321748	37362514	+
23070	CMTR1	cap methyltransferase 1	6	gene	37400907	37449284	+
154467	CCDC167	coiled-coil domain containing 167	6	gene	37450696	37467700	-
100505530	LOC100505530	uncharacterized LOC100505530	6	gene	37475124	37504056	+
100616413	MIR4462	microRNA 4462	6	gene	37523141	37523198	-
266727	MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1	6	gene	37600284	37665766	-
60685	ZFAND3	zinc finger AN1-type containing 3	6	gene	37787307	38122400	+
114781	BTBD9	BTB domain containing 9	6	gene	38136227	38607924	-
101929425	BTBD9-AS1	BTBD9 antisense RNA 1	6	gene	38449372	38450303	+
2739	GLO1	glyoxalase I	6	gene	38643701	38670952	-
1769	DNAH8	dynein axonemal heavy chain 8	6	gene	38683117	38998574	+
100131047	LOC100131047	uncharacterized LOC100131047	6	gene	38874271	38920883	-
2740	GLP1R	glucagon like peptide 1 receptor	6	gene	39016557	39059079	+
55776	SAYSD1	SAYSVFN motif domain containing 1	6	gene	39071839	39082962	-
8645	KCNK5	potassium two pore domain channel subfamily K member 5	6	gene	39156747	39197251	-
89822	KCNK17	potassium two pore domain channel subfamily K member 17	6	gene	39266777	39282237	-
83795	KCNK16	potassium two pore domain channel subfamily K member 16	6	gene	39282474	39290330	-
221458	KIF6	kinesin family member 6	6	gene	39302876	39693181	-
23500	DAAM2	dishevelled associated activator of morphogenesis 2	6	gene	39760159	39872653	+
100505635	LOC100505635	uncharacterized LOC100505635	6	gene	39856566	39865156	-
4337	MOCS1	molybdenum cofactor synthesis 1	6	gene	39872034	39902290	-
401260	LINC00951	long intergenic non-protein coding RNA 951	6	gene	40312084	40323745	-
732253	TDRG1	testis development related 1 (non-protein coding)	6	gene	40346163	40347631	+
57497	LRFN2	leucine rich repeat and fibronectin type III domain containing 2	6	gene	40359373	40555203	-
101929555	LOC101929555	uncharacterized LOC101929555	6	gene	40846625	40991019	-
222643	UNC5CL	unc-5 family C-terminal like	6	gene	40994640	41006938	-
222642	TSPO2	translocator protein 2	6	gene	41010237	41012076	+
10930	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2	6	gene	41020940	41032630	+
221443	OARD1	O-acyl-ADP-ribose deacylase 1	6	gene	41034527	41065526	-
4800	NFYA	nuclear transcription factor Y subunit alpha	6	gene	41040707	41070146	+
340205	TREML1	triggering receptor expressed on myeloid cells like 1	6	gene	41116998	41122087	-
54209	TREM2	triggering receptor expressed on myeloid cells 2	6	gene	41126244	41130924	-
79865	TREML2	triggering receptor expressed on myeloid cells like 2	6	gene	41157487	41168925	-
285852	TREML4	triggering receptor expressed on myeloid cells like 4	6	gene	41196062	41206120	+
54210	TREM1	triggering receptor expressed on myeloid cells 1	6	gene	41235123	41254483	-
9436	NCR2	natural cytotoxicity triggering receptor 2	6	gene	41303528	41318625	+
103106903	LINC01276	long intergenic non-protein coding RNA 1276	6	gene	41470182	41487590	+
101060264	FOXP4-AS1	FOXP4 antisense RNA 1	6	gene	41491633	41516359	-
116113	FOXP4	forkhead box P4	6	gene	41514164	41570122	+
100616178	MIR4641	microRNA 4641	6	gene	41566461	41566526	+
4188	MDFI	MyoD family inhibitor	6	gene	41604915	41621982	+
7942	TFEB	transcription factor EB	6	gene	41651716	41703997	-
5225	PGC	progastricsin	6	gene	41704449	41715139	-
10817	FRS3	fibroblast growth factor receptor substrate 3	6	gene	41737914	41747643	-
29964	PRICKLE4	prickle planar cell polarity protein 4	6	gene	41748500	41755110	+
100188893	TOMM6	translocase of outer mitochondrial membrane 6	6	gene	41755181	41757634	+
25862	USP49	ubiquitin specific peptidase 49	6	gene	41757634	41863099	-
9477	MED20	mediator complex subunit 20	6	gene	41873091	41888885	-
705	BYSL	bystin like	6	gene	41888965	41900784	+
896	CCND3	cyclin D3	6	gene	41902671	42016632	-
129685	TAF8	TATA-box binding protein associated factor 8	6	gene	42018251	42048644	+
647024	C6orf132	chromosome 6 open reading frame 132	6	gene	42068857	42110715	-
2978	GUCA1A	guanylate cyclase activator 1A	6	gene	42123115	42147821	+
2979	GUCA1B	guanylate cyclase activator 1B	6	gene	42151022	42162694	-
55173	MRPS10	mitochondrial ribosomal protein S10	6	gene	42174539	42185633	-
55809	TRERF1	transcriptional regulating factor 1	6	gene	42192671	42419789	-
23304	UBR2	ubiquitin protein ligase E3 component n-recognin 2	6	gene	42531760	42661243	+
5961	PRPH2	peripherin 2	6	gene	42664333	42690358	-
6903	TBCC	tubulin folding cofactor C	6	gene	42712234	42713884	-
23506	GLTSCR1L	GLTSCR1 like	6	gene	42714696	42836298	+
401261	LOC401261	uncharacterized LOC401261	6	gene	42751234	42759061	+
285855	RPL7L1	ribosomal protein L7 like 1	6	gene	42847354	42857634	+
441150	C6orf226	chromosome 6 open reading frame 226	6	gene	42858003	42858554	-
171558	PTCRA	pre T-cell antigen receptor alpha	6	gene	42883727	42893576	+
10695	CNPY3	canopy FGF signaling regulator 3	6	gene	42895740	42907025	+
107080644	CNPY3-GNMT	CNPY3-GNMT readthrough	6	gene	42896868	42931618	+
27232	GNMT	glycine N-methyltransferase	6	gene	42928492	42931618	+
5190	PEX6	peroxisomal biogenesis factor 6	6	gene	42931611	42946981	-
5528	PPP2R5D	protein phosphatase 2 regulatory subunit B'delta	6	gene	42952237	42980083	+
4201	MEA1	male-enhanced antigen 1	6	gene	42979751	42984624	-
116138	KLHDC3	kelch domain containing 3	6	gene	42981841	42989036	+
88745	RRP36	ribosomal RNA processing 36	6	gene	42989340	42997337	+
9820	CUL7	cullin 7	6	gene	43005355	43021683	-
51069	MRPL2	mitochondrial ribosomal protein L2	6	gene	43021767	43027283	-
89953	KLC4	kinesin light chain 4	6	gene	43027332	43042837	+
5754	PTK7	protein tyrosine kinase 7 (inactive)	6	gene	43044006	43129458	+
6722	SRF	serum response factor	6	gene	43139033	43149244	+
23113	CUL9	cullin 9	6	gene	43149922	43192325	+
10591	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	6	gene	43193367	43197211	-
84630	TTBK1	tau tubulin kinase 1	6	gene	43211418	43255997	+
10864	SLC22A7	solute carrier family 22 member 7	6	gene	43265998	43273276	+
401262	CRIP3	cysteine rich protein 3	6	gene	43273211	43276530	-
24149	ZNF318	zinc finger protein 318	6	gene	43303808	43337181	-
89845	ABCC10	ATP binding cassette subfamily C member 10	6	gene	43395292	43418163	+
102466746	MIR6780B	microRNA 6780b	6	gene	43402280	43402358	+
65989	DLK2	delta like non-canonical Notch ligand 2	6	gene	43418090	43424370	-
93643	TJAP1	tight junction associated protein 1	6	gene	43445261	43474294	+
221424	LRRC73	leucine rich repeat containing 73	6	gene	43474703	43478081	-
25844	YIPF3	Yip1 domain family member 3	6	gene	43479565	43484728	-
9533	POLR1C	RNA polymerase I subunit C	6	gene	43484762	43497114	+
57510	XPO5	exportin 5	6	gene	43490068	43543812	-
5429	POLH	DNA polymerase eta	6	gene	43543878	43588260	+
54676	GTPBP2	GTP binding protein 2	6	gene	43588218	43596983	-
9587	MAD2L1BP	MAD2L1 binding protein	6	gene	43597279	43608689	+
221421	RSPH9	radial spoke head 9 homolog	6	gene	43612767	43638748	+
55168	MRPS18A	mitochondrial ribosomal protein S18A	6	gene	43638934	43655549	-
7422	VEGFA	vascular endothelial growth factor A	6	gene	43737946	43754224	+
100132354	LINC01512	long intergenic non-protein coding RNA 1512	6	gene	43858765	43905944	+
101929705	LOC101929705	uncharacterized LOC101929705	6	gene	43963460	44042389	-
221416	C6orf223	chromosome 6 open reading frame 223	6	gene	43968337	43975352	+
64928	MRPL14	mitochondrial ribosomal protein L14	6	gene	44081191	44095228	-
55362	TMEM63B	transmembrane protein 63B	6	gene	44094651	44123256	+
11131	CAPN11	calpain 11	6	gene	44126548	44152139	+
101929726	LOC101929726	uncharacterized LOC101929726	6	gene	44184676	44185973	+
2030	SLC29A1	solute carrier family 29 member 1 (Augustine blood group)	6	gene	44187242	44201888	+
3326	HSP90AB1	heat shock protein 90 alpha family class B member 1	6	gene	44213903	44221625	+
347734	SLC35B2	solute carrier family 35 member B2	6	gene	44221838	44225627	-
100616124	MIR4647	microRNA 4647	6	gene	44221943	44222022	-
4794	NFKBIE	NFKB inhibitor epsilon	6	gene	44225903	44233525	-
441151	TMEM151B	transmembrane protein 151B	6	gene	44238480	44247182	+
202500	TCTE1	t-complex-associated-testis-expressed 1	6	gene	44247897	44265458	-
57505	AARS2	alanyl-tRNA synthetase 2%2C mitochondrial	6	gene	44266463	44281063	-
221409	SPATS1	spermatogenesis associated serine rich 1	6	gene	44310397	44344904	+
988	CDC5L	cell division cycle 5 like	6	gene	44355251	44418161	+
100616352	MIR4642	microRNA 4642	6	gene	44403378	44403459	+
105375075	LOC105375075	uncharacterized LOC105375075	6	gene	44513898	44519618	-
8464	SUPT3H	SPT3 homolog%2C SAGA and STAGA complex component	6	gene	44794467	45345788	-
693171	MIR586	microRNA 586	6	gene	45165411	45165507	-
860	RUNX2	runt related transcription factor 2	6	gene	45296054	45518819	+
53405	CLIC5	chloride intracellular channel 5	6	gene	45866188	46048085	-
22875	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative)	6	gene	46097701	46114436	+
59084	ENPP5	ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative)	6	gene	46126919	46138747	-
10231	RCAN2	regulator of calcineurin 2	6	gene	46188467	46459804	-
101926915	LOC101926915	uncharacterized LOC101926915	6	gene	46244061	46333245	+
101926898	LOC101926898	uncharacterized LOC101926898	6	gene	46459789	46501223	+
51302	CYP39A1	cytochrome P450 family 39 subfamily A member 1	6	gene	46517317	46620567	-
9481	SLC25A27	solute carrier family 25 member 27	6	gene	46620652	46645927	+
101926934	LOC101926934	uncharacterized LOC101926934	6	gene	46638181	46655902	-
221400	TDRD6	tudor domain containing 6	6	gene	46648005	46672056	+
7941	PLA2G7	phospholipase A2 group VII	6	gene	46672053	46703430	-
100287718	ANKRD66	ankyrin repeat domain 66	6	gene	46714654	46726955	+
4224	MEP1A	meprin A subunit alpha	6	gene	46761094	46807519	+
221395	ADGRF5	adhesion G protein-coupled receptor F5	6	gene	46820242	46922675	-
101926962	LOC101926962	uncharacterized LOC101926962	6	gene	46871208	46877766	+
266977	ADGRF1	adhesion G protein-coupled receptor F1	6	gene	46965440	47010099	-
27242	TNFRSF21	TNF receptor superfamily member 21	6	gene	47199263	47277683	-
23607	CD2AP	CD2 associated protein	6	gene	47445525	47594999	+
222611	ADGRF2	adhesion G protein-coupled receptor F2	6	gene	47624326	47665533	+
221393	ADGRF4	adhesion G protein-coupled receptor F4	6	gene	47666281	47689757	+
221391	OPN5	opsin 5	6	gene	47749775	47794117	+
442213	PTCHD4	patched domain containing 4	6	gene	47845764	48036425	-
4594	MUT	methylmalonyl-CoA mutase	6	gene	49398073	49431041	-
55166	CENPQ	centromere protein Q	6	gene	49431096	49460820	+
389396	GLYATL3	glycine-N-acyltransferase like 3	6	gene	49467671	49495777	+
135398	C6orf141	chromosome 6 open reading frame 141	6	gene	49518113	49519808	+
6005	RHAG	Rh-associated glycoprotein	6	gene	49572888	49604587	-
7180	CRISP2	cysteine rich secretory protein 2	6	gene	49660071	49681303	-
10321	CRISP3	cysteine rich secretory protein 3	6	gene	49695089	49712168	-
5232	PGK2	phosphoglycerate kinase 2	6	gene	49753364	49755053	-
101927020	LOC101927020	uncharacterized LOC101927020	6	gene	49779253	49788216	+
101927048	LOC101927048	uncharacterized LOC101927048	6	gene	49783206	49792479	-
167	CRISP1	cysteine rich secretory protein 1	6	gene	49801970	49844809	-
403339	DEFB133	defensin beta 133	6	gene	49913814	49917157	-
245928	DEFB114	defensin beta 114	6	gene	49928005	49931818	-
245927	DEFB113	defensin beta 113	6	gene	49936390	49937338	-
245913	DEFB110	defensin beta 110	6	gene	49976851	49989694	-
245915	DEFB112	defensin beta 112	6	gene	50011288	50016364	-
83741	TFAP2D	transcription factor AP-2 delta	6	gene	50681257	50740746	+
7021	TFAP2B	transcription factor AP-2 beta	6	gene	50786439	50815326	+
5314	PKHD1	polycystic kidney and hepatic disease 1 (autosomal recessive)	6	gene	51480145	51952423	-
101927082	LOC101927082	uncharacterized LOC101927082	6	gene	51486668	51487375	+
406989	MIR206	microRNA 206	6	gene	52009147	52009232	+
101154644	LINCMD1	long intergenic non-protein coding RNA%2C muscle differentiation 1	6	gene	52011612	52015821	-
442890	MIR133B	microRNA 133b	6	gene	52013721	52013839	+
3605	IL17A	interleukin 17A	6	gene	52051185	52055436	+
112744	IL17F	interleukin 17F	6	gene	52101484	52109298	-
4172	MCM3	minichromosome maintenance complex component 3	6	gene	52128812	52149679	-
85315	PAQR8	progestin and adipoQ receptor family member 8	6	gene	52226926	52272575	+
114327	EFHC1	EF-hand domain containing 1	6	gene	52284994	52360583	+
9697	TRAM2	translocation associated membrane protein 2	6	gene	52362200	52441862	-
401264	TRAM2-AS1	TRAM2 antisense RNA 1 (head to head)	6	gene	52442000	52448791	+
730101	LOC730101	uncharacterized LOC730101	6	gene	52529199	52533951	+
28978	TMEM14A	transmembrane protein 14A	6	gene	52535884	52551386	+
2939	GSTA2	glutathione S-transferase alpha 2	6	gene	52614885	52628361	-
2938	GSTA1	glutathione S-transferase alpha 1	6	gene	52656178	52668765	-
221357	GSTA5	glutathione S-transferase alpha 5	6	gene	52696540	52710893	-
2940	GSTA3	glutathione S-transferase alpha 3	6	gene	52761437	52774496	-
2941	GSTA4	glutathione S-transferase alpha 4	6	gene	52842746	52860178	-
125050	RN7SK	RNA%2C 7SK small nuclear	6	gene	52860418	52860749	+
22858	ICK	intestinal cell kinase	6	gene	52866098	52926600	-
26268	FBXO9	F-box protein 9	6	gene	52929796	52965671	+
8521	GCM1	glial cells missing homolog 1	6	gene	52991759	53013624	-
60481	ELOVL5	ELOVL fatty acid elongase 5	6	gene	53132196	53213977	-
100847075	MIR5685	microRNA 5685	6	gene	53141791	53141869	+
2729	GCLC	glutamate-cysteine ligase catalytic subunit	6	gene	53362139	53409927	-
101927136	LOC101927136	uncharacterized LOC101927136	6	gene	53426087	53438073	-
101927171	LINC01564	long intergenic non-protein coding RNA 1564	6	gene	53493178	53496192	+
401265	KLHL31	kelch like family member 31	6	gene	53512699	53530506	-
55227	LRRC1	leucine rich repeat containing 1	6	gene	53659778	53788919	+
101927189	LOC101927189	uncharacterized LOC101927189	6	gene	53794780	53862465	+
100874282	MLIP-IT1	MLIP intronic transcript 1	6	gene	53863688	53871950	+
90523	MLIP	muscular LMNA interacting protein	6	gene	53883714	54131078	+
27283	TINAG	tubulointerstitial nephritis antigen	6	gene	54173203	54254950	+
222584	FAM83B	family with sequence similarity 83 member B	6	gene	54711569	54809897	+
3062	HCRTR2	hypocretin receptor 2	6	gene	54971258	55147538	+
389400	GFRAL	GDNF family receptor alpha like	6	gene	55192267	55267291	+
54511	HMGCLL1	3-hydroxymethyl-3-methylglutaryl-CoA lyase like 1	6	gene	55299171	55444012	-
653	BMP5	bone morphogenetic protein 5	6	gene	55618451	55740388	-
81578	COL21A1	collagen type XXI alpha 1 chain	6	gene	55921388	56258926	-
667	DST	dystonin	6	gene	56322785	56819426	-
101930010	LOC101930010	uncharacterized LOC101930010	6	gene	56708784	56729136	+
221336	BEND6	BEN domain containing 6	6	gene	56819773	56892144	+
57691	KIAA1586	KIAA1586	6	gene	56911330	56920037	+
26036	ZNF451	zinc finger protein 451	6	gene	56954808	57035098	+
101927211	LOC101927211	uncharacterized LOC101927211	6	gene	56979709	57037011	-
9532	BAG2	BCL2 associated athanogene 2	6	gene	57037104	57050013	+
51715	RAB23	RAB23%2C member RAS oncogene family	6	gene	57051790	57087112	-
100506188	LOC100506188	uncharacterized LOC100506188	6	gene	57125322	57128144	-
5558	PRIM2	primase (DNA) subunit 2	6	gene	57179603	57513376	+
100422884	MIR548U	microRNA 548u	6	gene	57254930	57255010	+
100189249	TRNAI12		6	gene	58149254	58149327	+
100189060	TRNAA9		6	gene	58164628	58164700	-
100189085	TRNAM5		6	gene	58168492	58168564	-
100189106	TRNAA14		6	gene	58182679	58182751	-
100189312	TRNAA30		6	gene	58196623	58196695	-
106660612	LINC00680	long intergenic non-protein coding RNA 680	6	gene	58272112	58287724	-
100463487	MTRNR2L9	MT-RNR2-like 9	6	gene	62284008	62284534	+
202559	KHDRBS2	KH RNA binding domain containing%2C signal transduction associated 2	6	gene	62389865	62996132	-
51557	LGSN	lengsin%2C lens protein with glutamine synthetase domain	6	gene	63985856	64029882	-
7803	PTP4A1	protein tyrosine phosphatase type IVA%2C member 1	6	gene	64281917	64293493	+
23469	PHF3	PHD finger protein 3	6	gene	64345707	64425418	+
346007	EYS	eyes shut homolog (Drosophila)	6	gene	64429876	66417118	-
441155	LOC441155	zinc finger CCCH-type domain-containing-like	6	gene	66011311	66015506	+
102723883	LOC102723883	uncharacterized LOC102723883	6	gene	68765243	68770394	+
101928280	LOC101928280	uncharacterized LOC101928280	6	gene	68936862	69039791	-
101928307	LOC101928307	uncharacterized LOC101928307	6	gene	69342555	69344216	-
577	ADGRB3	adhesion G protein-coupled receptor B3	6	gene	69345632	70099403	+
55788	LMBRD1	LMBR1 domain containing 1	6	gene	70385641	70507049	-
1310	COL19A1	collagen type XIX alpha 1 chain	6	gene	70576448	70922157	+
1297	COL9A1	collagen type IX alpha 1 chain	6	gene	70925743	71012786	-
101928353	EVADR	uncharacterized LOC101928353	6	gene	71103905	71109120	+
57579	FAM135A	family with sequence similarity 135 member A	6	gene	71123107	71270877	+
135154	SDHAF4	succinate dehydrogenase complex assembly factor 4	6	gene	71276625	71298606	+
60682	SMAP1	small ArfGAP 1	6	gene	71377474	71571718	+
135152	B3GAT2	beta-1%2C3-glucuronyltransferase 2	6	gene	71571069	71666788	-
79627	OGFRL1	opioid growth factor receptor like 1	6	gene	71998145	72018762	+
407032	MIR30C2	microRNA 30c-2	6	gene	72086663	72086734	-
407029	MIR30A	microRNA 30a	6	gene	72113254	72113324	-
79940	LINC00472	long intergenic non-protein coding RNA 472	6	gene	72117567	72130448	-
102724000	LINC01626	long intergenic non-protein coding RNA 1626	6	gene	72130730	72168575	+
22999	RIMS1	regulating synaptic membrane exocytosis 1	6	gene	72596406	73112845	+
56479	KCNQ5	potassium voltage-gated channel subfamily Q member 5	6	gene	73331571	73908574	+
100507381	KCNQ5-IT1	KCNQ5 intronic transcript 1	6	gene	73340223	73388282	+
100423005	MIR4282	microRNA 4282	6	gene	73677410	73677476	-
100873997	KCNQ5-AS1	KCNQ5 antisense RNA 1	6	gene	73844526	73853237	-
100129128	KHDC1L	KH domain containing 1 like	6	gene	73933267	73935175	-
80759	KHDC1	KH homology domain containing 1	6	gene	73951037	74020088	-
340168	DPPA5	developmental pluripotency associated 5	6	gene	74062785	74063999	-
154288	KHDC3L	KH domain containing 3 like%2C subcortical maternal complex member	6	gene	74072400	74073898	+
441161	OOEP	oocyte expressed protein	6	gene	74078278	74079515	-
55510	DDX43	DEAD-box helicase 43	6	gene	74104285	74127289	+
115004	MB21D1	Mab-21 domain containing 1	6	gene	74134856	74162043	-
25821	MTO1	mitochondrial tRNA translation optimization 1	6	gene	74171454	74211179	+
1915	EEF1A1	eukaryotic translation elongation factor 1 alpha 1	6	gene	74225473	74230755	-
26503	SLC17A5	solute carrier family 17 member 5	6	gene	74303102	74363737	-
101928489	LOC101928489	uncharacterized LOC101928489	6	gene	74403626	74405854	-
135228	CD109	CD109 molecule	6	gene	74405808	74538041	+
101928516	LOC101928516	uncharacterized LOC101928516	6	gene	74779167	75400443	+
1303	COL12A1	collagen type XII alpha 1 chain	6	gene	75794042	75915623	-
1347	COX7A2	cytochrome c oxidase subunit 7A2	6	gene	75947391	75953644	-
55754	TMEM30A	transmembrane protein 30A	6	gene	75962638	75994632	-
100506804	LOC100506804	uncharacterized LOC100506804	6	gene	75994730	76001580	+
27145	FILIP1	filamin A interacting protein 1	6	gene	76001574	76203630	-
101928540	LOC101928540	uncharacterized LOC101928540	6	gene	76092902	76168616	+
100616389	MIR4463	microRNA 4463	6	gene	76138123	76138189	+
26054	SENP6	SUMO1/sentrin specific peptidase 6	6	gene	76311225	76428001	+
4646	MYO6	myosin VI	6	gene	76458893	76629254	+
3617	IMPG1	interphotoreceptor matrix proteoglycan 1	6	gene	76630831	76782395	-
3351	HTR1B	5-hydroxytryptamine receptor 1B	6	gene	78170565	78173739	-
101928601	MEI4	meiotic double-stranded break formation protein 4	6	gene	78359991	78636759	+
134728	IRAK1BP1	interleukin 1 receptor associated kinase 1 binding protein 1	6	gene	79577261	79610683	+
55023	PHIP	pleckstrin homology domain interacting protein	6	gene	79644136	79788015	-
9324	HMGN3	high mobility group nucleosomal binding domain 3	6	gene	79910962	79944455	-
100288198	HMGN3-AS1	HMGN3 antisense RNA 1	6	gene	79943391	79946517	+
80078	LCAL1	lung cancer associated lncRNA 1	6	gene	80017386	80023101	-
167691	LCA5	LCA5%2C lebercilin	6	gene	80194708	80247147	-
83699	SH3BGRL2	SH3 domain binding glutamate rich protein like 2	6	gene	80340822	80413387	+
89758	LINC01621	long intergenic non-protein coding RNA 1621	6	gene	80513300	80521963	-
6785	ELOVL4	ELOVL fatty acid elongase 4	6	gene	80624529	80657315	-
7272	TTK	TTK protein kinase	6	gene	80714322	80752244	+
594	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta	6	gene	80816327	81055987	+
55603	FAM46A	family with sequence similarity 46 member A	6	gene	82455447	82462428	-
101928770	LINC01526	long intergenic non-protein coding RNA 1526	6	gene	82523003	82523909	-
25998	IBTK	inhibitor of Bruton tyrosine kinase	6	gene	82879704	82957471	-
7162	TPBG	trophoblast glycoprotein	6	gene	83072923	83077134	+
90025	UBE3D	ubiquitin protein ligase E3D	6	gene	83602117	83775560	-
23033	DOPEY1	dopey family member 1	6	gene	83777385	83878190	+
5238	PGM3	phosphoglucomutase 3	6	gene	83874592	83903655	-
112611	RWDD2A	RWD domain containing 2A	6	gene	83903032	83908654	+
4199	ME1	malic enzyme 1	6	gene	83920108	84140938	-
167681	PRSS35	protease%2C serine 35	6	gene	84222194	84235423	+
9892	SNAP91	synaptosome associated protein 91	6	gene	84262604	84419127	-
105377879	LOC105377879	uncharacterized LOC105377879	6	gene	84419161	84436214	+
134701	RIPPLY2	ripply transcriptional repressor 2	6	gene	84562985	84567234	+
51167	CYB5R4	cytochrome b5 reductase 4	6	gene	84569370	84670146	+
112609	MRAP2	melanocortin 2 receptor accessory protein 2	6	gene	84743378	84800606	+
22832	CEP162	centrosomal protein 162	6	gene	84833960	84937353	-
105377880	LINC01611	long intergenic non-protein coding RNA 1611	6	gene	85130746	85184647	-
102724201	TBX18-AS1	TBX18 antisense RNA 1	6	gene	85399176	85419252	+
9096	TBX18	T-box 18	6	gene	85442214	85473954	-
101928820	LOC101928820	uncharacterized LOC101928820	6	gene	86096937	86114520	-
4907	NT5E	5'-nucleotidase ecto	6	gene	86159302	86205509	+
57231	SNX14	sorting nexin 14	6	gene	86215214	86303874	-
10492	SYNCRIP	synaptotagmin binding cytoplasmic RNA interacting protein	6	gene	86317502	86353043	-
387066	SNHG5	small nucleolar RNA host gene 5	6	gene	86386725	86388451	-
26799	SNORD50A	small nucleolar RNA%2C C/D box 50A	6	gene	86387012	86387086	-
692088	SNORD50B	small nucleolar RNA%2C C/D box 50B	6	gene	86387307	86387377	-
3354	HTR1E	5-hydroxytryptamine receptor 1E	6	gene	87647024	87726397	+
1081	CGA	glycoprotein hormones%2C alpha polypeptide	6	gene	87795216	87804865	-
23036	ZNF292	zinc finger protein 292	6	gene	87865269	87973406	+
375519	GJB7	gap junction protein beta 7	6	gene	87992697	88038996	-
57150	SMIM8	small integral membrane protein 8	6	gene	88032306	88052046	+
206412	C6orf163	chromosome 6 open reading frame 163	6	gene	88054571	88075181	+
63914	LINC01590	long intergenic non-protein coding RNA 1590	6	gene	88106842	88109459	+
154313	CFAP206	cilia and flagella associated protein 206	6	gene	88117690	88174191	+
10559	SLC35A1	solute carrier family 35 member A1	6	gene	88182643	88222057	+
57038	RARS2	arginyl-tRNA synthetase 2%2C mitochondrial	6	gene	88223653	88299750	-
23595	ORC3	origin recognition complex subunit 3	6	gene	88299785	88377172	+
55122	AKIRIN2	akirin 2	6	gene	88384578	88411985	-
101928911	LOC101928911	uncharacterized LOC101928911	6	gene	88494578	88621449	+
81833	SPACA1	sperm acrosome associated 1	6	gene	88757507	88776550	+
1268	CNR1	cannabinoid receptor 1	6	gene	88849583	88875767	-
101928936	LOC101928936	uncharacterized LOC101928936	6	gene	89235643	89249088	-
8732	RNGTT	RNA guanylyltransferase and 5'-phosphatase	6	gene	89319616	89673348	-
10957	PNRC1	proline rich nuclear receptor coactivator 1	6	gene	89790429	89794879	+
135295	SRSF12	serine and arginine rich splicing factor 12	6	gene	89805678	89827800	-
135293	PM20D2	peptidase M20 domain containing 2	6	gene	89855769	89875288	+
